Tracking_ID,Warehouse_Zone,Mode_of_Shipment,Customer_Inquiries,Customer_Score,Product_Cost_SAR,Previous_Orders,Product_Priority,Gender,Discount_offered,Product_Weight_g,is_delayed
D66B138C54AB,West_Hub,Ground_Freight,4,1,978.75,2,medium,F,9,4158,0
8FF9538E65E6,Central_Port,Standard_Sea,3,3,607.5,2,low,F,26,1659,1
D098284FA376,South_Hub,Standard_Sea,3,2,828.75,2,medium,M,9,4466,0
9202E9FDFF40,West_Hub,Standard_Sea,3,5,588.75,4,medium,F,2,4640,0
16B30490A644,North_Hub,Premium_Air,2,5,1020.0,2,low,M,24,3638,1
4BC5B5C0C74B,South_Hub,Ground_Freight,4,5,952.5,3,low,M,29,3885,1
7688B6EF5255,Central_Port,Standard_Sea,2,5,922.5,5,low,M,46,2437,1
EC216FB204DB,West_Hub,Standard_Sea,4,2,828.75,2,low,F,13,3097,1
9A049B03F6FC,Central_Port,Standard_Sea,2,2,502.5,3,low,M,38,1352,1
989601093FB7,Central_Port,Standard_Sea,4,4,573.75,5,medium,M,9,5818,0
20F1A57D5D8C,East_Hub,Standard_Sea,5,3,851.25,5,medium,M,2,1965,0
E8425B784FA8,South_Hub,Standard_Sea,3,3,937.5,3,low,M,9,4993,0
50825D7E9707,West_Hub,Standard_Sea,5,3,783.75,4,medium,F,7,2675,1
D831E97BAB46,Central_Port,Standard_Sea,6,5,900.0,3,low,M,4,5219,1
92ADED40FBB9,Central_Port,Ground_Freight,4,3,986.25,6,medium,M,8,1123,1
1D2DB6DB4635,North_Hub,Standard_Sea,4,4,911.25,3,low,M,10,3327,1
E5F957560A7E,Central_Port,Premium_Air,4,1,708.75,3,medium,M,5,4133,0
98B8FF199FBE,North_Hub,Standard_Sea,4,4,858.75,5,medium,F,7,1716,1
7902699BE42C,West_Hub,Premium_Air,3,4,937.5,3,low,F,3,2371,1
D54123DE468B,Central_Port,Standard_Sea,6,2,645.0,2,low,M,41,1006,1
AB7E67E9480C,East_Hub,Premium_Air,2,5,956.25,4,low,F,36,2093,1
4708F9C61A5E,Central_Port,Standard_Sea,5,4,971.25,3,medium,F,43,2685,1
F7BB120E8049,North_Hub,Standard_Sea,3,3,960.0,3,medium,M,8,4070,0
20D7593BD166,North_Hub,Standard_Sea,4,2,540.0,5,low,F,3,5807,1
FDF3EC936EE7,West_Hub,Standard_Sea,5,5,783.75,2,low,F,3,4348,0
B52B378CBEF9,Central_Port,Standard_Sea,3,4,618.75,2,medium,F,8,4280,1
6DB12D3DEFF9,South_Hub,Standard_Sea,5,4,990.0,10,medium,F,34,2960,1
E1D9CE80C3AB,West_Hub,Standard_Sea,4,2,682.5,3,low,M,58,3943,1
AAF68675C4BE,Central_Port,Premium_Air,5,4,532.5,2,high,M,7,5341,0
74ED8CA63E8B,North_Hub,Ground_Freight,3,5,765.0,2,low,M,1,4133,0
15FC36B3E80B,Central_Port,Standard_Sea,5,1,956.25,3,medium,F,6,5715,0
5D389F5E2E34,Central_Port,Premium_Air,5,4,1050.0,6,medium,F,51,3582,1
E7303AD874C1,West_Hub,Standard_Sea,4,1,708.75,2,medium,F,63,3474,1
E09FFD3535B9,South_Hub,Premium_Air,5,3,843.75,7,medium,F,45,3162,1
4FFFE8816A92,Central_Port,Standard_Sea,6,3,1023.75,4,medium,F,32,2532,1
